trp_multiplayer_profile_troop_male|联 机 男 性 玩 家 角 色
trp_multiplayer_profile_troop_male_pl|联 机 男 性 玩 家 角 色
trp_multiplayer_profile_troop_female|联 机 女 性 玩 家 角 色
trp_multiplayer_profile_troop_female_pl|联 机 女 性 玩 家 角 色
trp_temp_troop|Temp Troop
trp_temp_troop_pl|Temp Troop
trp_find_item_cheat|find item cheat
trp_find_item_cheat_pl|find item cheat
trp_random_town_sequence|Random Town Sequence
trp_random_town_sequence_pl|Random Town Sequence
trp_tournament_participants|问 道 台 修 士
trp_tournament_participants_pl|问 道 台 修 士
trp_tutorial_maceman|锤 子 手
trp_tutorial_maceman_pl|锤 子 手
trp_tutorial_archer|弓 箭 手
trp_tutorial_archer_pl|弓 箭 手
trp_tutorial_swordsman|剑 士
trp_tutorial_swordsman_pl|剑 士
trp_novice_fighter|初 级 斗 士
trp_novice_fighter_pl|初 级 斗 士
trp_regular_fighter|正 规 斗 士
trp_regular_fighter_pl|正 规 斗 士
trp_veteran_fighter|资 深 斗 士
trp_veteran_fighter_pl|资 深 斗 士
trp_champion_fighter|精 英 斗 士
trp_champion_fighter_pl|精 英 斗 士
trp_arena_training_fighter_1|初 级 斗 士
trp_arena_training_fighter_1_pl|初 级 斗 士
trp_arena_training_fighter_2|初 级 斗 士
trp_arena_training_fighter_2_pl|初 级 斗 士
trp_arena_training_fighter_3|正 规 斗 士
trp_arena_training_fighter_3_pl|正 规 斗 士
trp_arena_training_fighter_4|正 规 斗 士
trp_arena_training_fighter_4_pl|正 规 斗 士
trp_arena_training_fighter_5|正 规 斗 士
trp_arena_training_fighter_5_pl|正 规 斗 士
trp_arena_training_fighter_6|资 深 斗 士
trp_arena_training_fighter_6_pl|资 深 斗 士
trp_arena_training_fighter_7|资 深 斗 士
trp_arena_training_fighter_7_pl|资 深 斗 士
trp_arena_training_fighter_8|资 深 斗 士
trp_arena_training_fighter_8_pl|资 深 斗 士
trp_arena_training_fighter_9|精 英 斗 士
trp_arena_training_fighter_9_pl|精 英 斗 士
trp_arena_training_fighter_10|精 英 斗 士
trp_arena_training_fighter_10_pl|精 英 斗 士
trp_cattle|牛
trp_cattle_pl|牛
trp_farmer|农 民
trp_farmer_pl|农 民
trp_townsman|市 民
trp_townsman_pl|市 民
trp_watchman|雇 佣 哨 兵
trp_watchman_pl|雇 佣 哨 兵
trp_caravan_guard|商 队 护 卫
trp_caravan_guard_pl|商 队 护 卫
trp_mercenary_swordsman|雇 佣 剑 士
trp_mercenary_swordsman_pl|雇 佣 剑 士
trp_hired_blade|职 业 杀 手
trp_hired_blade_pl|职 业 杀 手
trp_mercenary_crossbowman|雇 佣 弩 手
trp_mercenary_crossbowman_pl|雇 佣 弩 手
trp_mercenary_horseman|雇 佣 骑 手
trp_mercenary_horseman_pl|雇 佣 骑 手
trp_mercenary_cavalry|雇 佣 骑 兵
trp_mercenary_cavalry_pl|雇 佣 骑 兵
trp_mercenaries_end|mercenaries end
trp_mercenaries_end_pl|mercenaries end
trp_swadian_recruit|太 清 外 门
trp_swadian_recruit_pl|太 清 外 门
trp_swadian_militia|太 清 道 兵
trp_swadian_militia_pl|太 清 道 兵
trp_swadian_footman|太 清 执 事
trp_swadian_footman_pl|太 清 执 事
trp_swadian_infantry|太 清 护 法
trp_swadian_infantry_pl|太 清 护 法
trp_swadian_sergeant|太 清 长 老
trp_swadian_sergeant_pl|太 清 长 老
trp_swadian_skirmisher|太 清 符 弩 手
trp_swadian_skirmisher_pl|太 清 符 弩 手
trp_swadian_crossbowman|太 清 弩 修
trp_swadian_crossbowman_pl|太 清 弩 修
trp_swadian_sharpshooter|太 清 破 阵 弩
trp_swadian_sharpshooter_pl|太 清 破 阵 弩
trp_swadian_man_at_arms|太 清 灵 骑
trp_swadian_man_at_arms_pl|太 清 灵 骑
trp_swadian_knight|太 清 金 丹 骑
trp_swadian_knight_pl|太 清 金 丹 骑
trp_swadian_messenger|传 讯 使
trp_swadian_messenger_pl|传 讯 使
trp_swadian_deserter|叛 宗 修 士
trp_swadian_deserter_pl|叛 宗 修 士
trp_swadian_prison_guard|镇 狱 卫
trp_swadian_prison_guard_pl|镇 狱 卫
trp_swadian_castle_guard|山 门 卫
trp_swadian_castle_guard_pl|山 门 卫
trp_vaegir_recruit|青 岚 外 门
trp_vaegir_recruit_pl|青 岚 外 门
trp_vaegir_footman|青 岚 剑 徒
trp_vaegir_footman_pl|青 岚 剑 徒
trp_vaegir_skirmisher|青 岚 游 剑
trp_vaegir_skirmisher_pl|青 岚 游 剑
trp_vaegir_archer|青 岚 弓 修
trp_vaegir_archer_pl|青 岚 弓 修
trp_vaegir_marksman|青 岚 剑 魁
trp_vaegir_marksman_pl|青 岚 剑 魁
trp_vaegir_veteran|青 岚 玄 甲 卫
trp_vaegir_veteran_pl|青 岚 玄 甲 卫
trp_vaegir_infantry|青 岚 剑 修
trp_vaegir_infantry_pl|青 岚 剑 修
trp_vaegir_guard|青 岚 护 宗 卫
trp_vaegir_guard_pl|青 岚 护 宗 卫
trp_vaegir_horseman|青 岚 御 风 骑
trp_vaegir_horseman_pl|青 岚 御 风 骑
trp_vaegir_knight|青 岚 剑 骑
trp_vaegir_knight_pl|青 岚 剑 骑
trp_vaegir_messenger|传 讯 使
trp_vaegir_messenger_pl|传 讯 使
trp_vaegir_deserter|叛 宗 修 士
trp_vaegir_deserter_pl|叛 宗 修 士
trp_vaegir_prison_guard|镇 狱 卫
trp_vaegir_prison_guard_pl|镇 狱 卫
trp_vaegir_castle_guard|山 门 卫
trp_vaegir_castle_guard_pl|山 门 卫
trp_khergit_tribesman|玄 霜 行 者
trp_khergit_tribesman_pl|玄 霜 行 者
trp_khergit_skirmisher|玄 霜 轻 骑
trp_khergit_skirmisher_pl|玄 霜 轻 骑
trp_khergit_horseman|玄 霜 霜 骑
trp_khergit_horseman_pl|玄 霜 霜 骑
trp_khergit_horse_archer|玄 霜 骑 射
trp_khergit_horse_archer_pl|玄 霜 骑 射
trp_khergit_veteran_horse_archer|玄 霜 羽 林 射
trp_khergit_veteran_horse_archer_pl|玄 霜 羽 林 射
trp_khergit_lancer|玄 霜 禁 骑
trp_khergit_lancer_pl|玄 霜 禁 骑
trp_khergit_messenger|传 讯 使
